0.001 0 0 1
0.002 0 3.94784e-05 0.99998
0.003 1.55855e-09 0.000118431 0.999941
0.004 7.79245e-09 0.000236851 0.999882
0.005 2.33762e-08 0.000394726 0.999803
0.006 5.45413e-08 0.00059204 0.999704
0.007 1.09075e-07 0.000828774 0.999586
0.008 1.96319e-07 0.0011049 0.999447
0.009 3.27167e-07 0.0014204 0.99929
0.01 5.14064e-07 0.00177524 0.999112
0.011 7.71005e-07 0.00216938 0.998915
0.012 1.11353e-06 0.00260279 0.998698
0.013 1.55872e-06 0.00307542 0.998462
0.014 2.1252e-06 0.00358722 0.998205
0.015 2.83313e-06 0.00413815 0.99793
0.016 3.7042e-06 0.00472814 0.997634
0.017 4.76164e-06 0.00535715 0.997319
0.018 6.0302e-06 0.00602511 0.996984
0.019 7.53614e-06 0.00673195 0.99663
0.02 9.30725e-06 0.00747761 0.996257
0.021 1.13728e-05 0.00826201 0.995863
0.022 1.37637e-05 0.00908507 0.995451
0.023 1.65121e-05 0.00994671 0.995018
0.024 1.96519e-05 0.0108468 0.994567
0.025 2.32184e-05 0.0117854 0.994096
0.026 2.72483e-05 0.0127623 0.993605
0.027 3.17799e-05 0.0137773 0.993095
0.028 3.68529e-05 0.0148305 0.992566
0.029 4.25085e-05 0.0159218 0.992018
0.03 4.87893e-05 0.0170509 0.99145
0.031 5.57393e-05 0.0182178 0.990863
0.032 6.34042e-05 0.0194224 0.990257
0.033 7.18308e-05 0.0206646 0.989632
0.034 8.10676e-05 0.0219442 0.988987
0.035 9.11643e-05 0.0232611 0.988324
0.036 0.000102172 0.0246152 0.987641
0.037 0.000114144 0.0260064 0.98694
0.038 0.000127133 0.0274344 0.986219
0.039 0.000141195 0.0288993 0.98548
0.04 0.000156387 0.0304008 0.984721
0.041 0.000172767 0.0319387 0.983944
0.042 0.000190394 0.033513 0.983148
0.043 0.000209329 0.0351234 0.982333
0.044 0.000229634 0.0367699 0.9815
0.045 0.000251373 0.0384522 0.980648
0.046 0.000274609 0.0401703 0.979777
0.047 0.00029941 0.0419238 0.978888
0.048 0.000325843 0.0437127 0.97798
0.049 0.000353975 0.0455367 0.977054
0.05 0.000383877 0.0473958 0.97611
0.051 0.00041562 0.0492896 0.975147
0.052 0.000449276 0.0512181 0.974166
0.053 0.000484919 0.053181 0.973166
0.054 0.000522623 0.0551781 0.972149
0.055 0.000562464 0.0572093 0.971113
0.056 0.000604519 0.0592744 0.970059
0.057 0.000648866 0.061373 0.968988
0.058 0.000695585 0.0635051 0.967898
0.059 0.000744756 0.0656705 0.966791
0.06 0.000796461 0.0678688 0.965665
0.061 0.000850782 0.0700999 0.964523
0.062 0.000907804 0.0723637 0.963362
0.063 0.000967611 0.0746597 0.962184
0.064 0.00103029 0.0769879 0.960988
0.065 0.00109592 0.079348 0.959775
0.066 0.00116461 0.0817398 0.958544
0.067 0.00123642 0.084163 0.957297
0.068 0.00131147 0.0866174 0.956032
0.069 0.00138982 0.0891027 0.954749
0.07 0.00147159 0.0916188 0.95345
0.071 0.00155686 0.0941653 0.952134
0.072 0.00164572 0.0967421 0.950801
0.073 0.00173827 0.0993488 0.94945
0.074 0.0018346 0.101985 0.948084
0.075 0.00193482 0.104651 0.9467
0.076 0.00203901 0.107346 0.9453
0.077 0.00214729 0.11007 0.943883
0.078 0.00225973 0.112823 0.94245
0.079 0.00237646 0.115604 0.941
0.08 0.00249756 0.118413 0.939534
0.081 0.00262313 0.12125 0.938052
0.082 0.00275329 0.124114 0.936554
0.083 0.00288813 0.127006 0.93504
0.084 0.00302776 0.129925 0.933509
0.085 0.00317227 0.132871 0.931963
0.086 0.00332178 0.135842 0.930402
0.087 0.00347639 0.138841 0.928824
0.088 0.00363621 0.141864 0.927231
0.089 0.00380134 0.144914 0.925622
0.09 0.0039719 0.147989 0.923998
0.091 0.00414798 0.151088 0.922359
0.092 0.00432969 0.154213 0.920704
0.093 0.00451716 0.157361 0.919035
0.094 0.00471048 0.160534 0.91735
0.095 0.00490977 0.163731 0.91565
0.096 0.00511513 0.16695 0.913936
0.097 0.00532668 0.170193 0.912207
0.098 0.00554452 0.173459 0.910463
0.099 0.00576878 0.176747 0.908704
0.1 0.00599956 0.180058 0.906931
0.101 0.00623698 0.18339 0.905144
0.102 0.00648114 0.186744 0.903342
0.103 0.00673216 0.190118 0.901527
0.104 0.00699016 0.193514 0.899697
0.105 0.00725524 0.19693 0.897854
0.106 0.00752753 0.200367 0.895996
0.107 0.00780713 0.203823 0.894125
0.108 0.00809416 0.207299 0.89224
0.109 0.00838874 0.210794 0.890342
0.11 0.00869097 0.214307 0.88843
0.111 0.00900098 0.21784 0.886505
0.112 0.00931888 0.22139 0.884567
0.113 0.00964479 0.224958 0.882615
0.114 0.00997881 0.228544 0.880651
0.115 0.0103211 0.232147 0.878674
0.116 0.0106717 0.235766 0.876684
0.117 0.0110308 0.239402 0.874681
0.118 0.0113984 0.243054 0.872666
0.119 0.0117748 0.246722 0.870638
0.12 0.0121599 0.250405 0.868599
0.121 0.012554 0.254103 0.866546
0.122 0.0129571 0.257816 0.864482
0.123 0.0133694 0.261543 0.862406
0.124 0.013791 0.265284 0.860318
0.125 0.0142219 0.269039 0.858218
0.126 0.0146623 0.272806 0.856107
0.127 0.0151124 0.276587 0.853984
0.128 0.0155721 0.28038 0.85185
0.129 0.0160417 0.284185 0.849704
0.13 0.0165213 0.288002 0.847547
0.131 0.0170109 0.29183 0.84538
0.132 0.0175107 0.29567 0.843201
0.133 0.0180208 0.29952 0.841011
0.134 0.0185413 0.30338 0.838811
