0 -0
0.01 -0.0099
0.02 -0.0196
0.03 -0.0291
0.04 -0.0384
0.05 -0.0475
0.06 -0.0564
0.07 -0.0651
0.08 -0.0736
0.09 -0.0819
0.1 -0.09
0.11 -0.0979
0.12 -0.1056
0.13 -0.1131
0.14 -0.1204
0.15 -0.1275
0.16 -0.1344
0.17 -0.1411
0.18 -0.1476
0.19 -0.1539
0.2 -0.16
0.21 -0.1659
0.22 -0.1716
0.23 -0.1771
0.24 -0.1824
0.25 -0.1875
0.26 -0.1924
0.27 -0.1971
0.28 -0.2016
0.29 -0.2059
0.3 -0.21
0.31 -0.2139
0.32 -0.2176
0.33 -0.2211
0.34 -0.2244
0.35 -0.2275
0.36 -0.2304
0.37 -0.2331
0.38 -0.2356
0.39 -0.2379
0.4 -0.24
0.41 -0.2419
0.42 -0.2436
0.43 -0.2451
0.44 -0.2464
0.45 -0.2475
0.46 -0.2484
0.47 -0.2491
0.48 -0.2496
0.49 -0.2499
0.5 -0.25
0.51 -0.2499
0.52 -0.2496
0.53 -0.2491
0.54 -0.2484
0.55 -0.2475
0.56 -0.2464
0.57 -0.2451
0.58 -0.2436
0.59 -0.2419
0.6 -0.24
0.61 -0.2379
0.62 -0.2356
0.63 -0.2331
0.64 -0.2304
0.65 -0.2275
0.66 -0.2244
0.67 -0.2211
0.68 -0.2176
0.69 -0.2139
0.7 -0.21
0.71 -0.2059
0.72 -0.2016
0.73 -0.1971
0.74 -0.1924
0.75 -0.1875
0.76 -0.1824
0.77 -0.1771
0.78 -0.1716
0.79 -0.1659
0.8 -0.16
0.81 -0.1539
0.82 -0.1476
0.83 -0.1411
0.84 -0.1344
0.85 -0.1275
0.86 -0.1204
0.87 -0.1131
0.88 -0.1056
0.89 -0.0979
0.9 -0.09
0.91 -0.0819
0.92 -0.0736
0.93 -0.0651
0.94 -0.0564
0.95 -0.0475
0.96 -0.0384
0.97 -0.0291
0.98 -0.0196
0.99 -0.0099
1 0


0 -0
0.01 -0.00931224
0.02 -0.0185115
0.03 -0.0275884
0.04 -0.0365339
0.05 -0.0453392
0.06 -0.0539964
0.07 -0.0624981
0.08 -0.0708375
0.09 -0.0790086
0.1 -0.087006
0.11 -0.0948252
0.12 -0.102462
0.13 -0.109913
0.14 -0.117175
0.15 -0.124247
0.16 -0.131125
0.17 -0.137809
0.18 -0.144297
0.19 -0.150589
0.2 -0.156682
0.21 -0.162578
0.22 -0.168274
0.23 -0.173772
0.24 -0.17907
0.25 -0.184169
0.26 -0.189068
0.27 -0.193768
0.28 -0.198267
0.29 -0.202567
0.3 -0.206667
0.31 -0.210567
0.32 -0.214267
0.33 -0.217767
0.34 -0.221067
0.35 -0.224167
0.36 -0.227067
0.37 -0.229767
0.38 -0.232267
0.39 -0.234567
0.4 -0.236667
0.41 -0.238567
0.42 -0.240267
0.43 -0.241767
0.44 -0.243067
0.45 -0.244167
0.46 -0.245067
0.47 -0.245767
0.48 -0.246267
0.49 -0.246567
0.5 -0.246667
0.51 -0.246567
0.52 -0.246267
0.53 -0.245767
0.54 -0.245067
0.55 -0.244167
0.56 -0.243067
0.57 -0.241767
0.58 -0.240267
0.59 -0.238567
0.6 -0.236667
0.61 -0.234567
0.62 -0.232267
0.63 -0.229767
0.64 -0.227067
0.65 -0.224167
0.66 -0.221067
0.67 -0.217767
0.68 -0.214267
0.69 -0.210567
0.7 -0.206667
0.71 -0.202567
0.72 -0.198267
0.73 -0.193767
0.74 -0.189067
0.75 -0.184167
0.76 -0.179067
0.77 -0.173768
0.78 -0.168269
0.79 -0.16257
0.8 -0.156672
0.81 -0.150576
0.82 -0.144281
0.83 -0.137788
0.84 -0.131098
0.85 -0.124214
0.86 -0.117135
0.87 -0.109865
0.88 -0.102405
0.89 -0.0947599
0.9 -0.0869325
0.91 -0.0789275
0.92 -0.0707503
0.93 -0.0624068
0.94 -0.053904
0.95 -0.0452492
0.96 -0.0364507
0.97 -0.0275171
0.98 -0.0184578
0.99 -0.00928216
1 0


0 -0
0.01 -0.00904327
0.02 -0.0179774
0.03 -0.0267955
0.04 -0.0354909
0.05 -0.0440573
0.06 -0.0524882
0.07 -0.0607778
0.08 -0.0689202
0.09 -0.0769102
0.1 -0.0847425
0.11 -0.0924125
0.12 -0.0999158
0.13 -0.107248
0.14 -0.114407
0.15 -0.121387
0.16 -0.128187
0.17 -0.134803
0.18 -0.141233
0.19 -0.147475
0.2 -0.153528
0.21 -0.159389
0.22 -0.165058
0.23 -0.170532
0.24 -0.175811
0.25 -0.180895
0.26 -0.185781
0.27 -0.190471
0.28 -0.194962
0.29 -0.199256
0.3 -0.20335
0.31 -0.207246
0.32 -0.210943
0.33 -0.214441
0.34 -0.217739
0.35 -0.220838
0.36 -0.223737
0.37 -0.226436
0.38 -0.228935
0.39 -0.231235
0.4 -0.233334
0.41 -0.235234
0.42 -0.236934
0.43 -0.238434
0.44 -0.239734
0.45 -0.240834
0.46 -0.241733
