1.95682 0 1.92327 0 1.91066 0 1.93468 0 1.02141 0 1.95139 0 1.93468 0 1.91066 0 1.92322 0 1.95691 0 
5.25252 0 5.41615 0 5.43117 0 5.27775 0 5.00007 0 4.9985 0 4.72223 0 4.56882 0 4.58356 0 4.748 0 
7.71331 0 7.56394 0 7.60167 0 7.77685 0 8.19572 0 8.00972 0 7.77683 0 7.60165 0 7.56361 0 7.71386 0 
11.4138 0 11.2843 0 10.7666 0 10.5602 0 10.9996 0 11.0078 0 11.4398 0 11.2333 0 10.7152 0 10.5865 0 
13.5733 0 13.7789 0 14.3049 0 14.4187 0 13.9609 0 13.9981 0 14.4187 0 14.3049 0 13.7783 0 13.5736 0 
17.4261 0 16.7778 0 16.6951 0 17.4187 0 17.0019 0 16.9609 0 16.5813 0 17.3049 0 17.2217 0 16.5736 0 
19.5869 0 20.2853 0 20.2333 0 19.5602 0 20.0078 0 20.0004 0 19.5602 0 20.2333 0 20.2848 0 19.5865 0 
23.2856 0 22.5633 0 23.3984 0 22.7768 0 22.9903 0 23.1957 0 23.2232 0 22.6017 0 23.4364 0 22.7139 0 
25.7485 0 26.4167 0 25.5688 0 26.2778 0 25.9985 0 25.9999 0 26.2778 0 25.5688 0 26.4164 0 25.748 0 
29.043 0 28.9232 0 29.0893 0 28.9347 0 29.0486 0 28.0214 0 29.0653 0 28.9107 0 29.0768 0 28.9569 0 


1.95935 0 1.92761 0 1.91546 0 1.938 0 1.05062 0 1.95284 0 1.93525 0 1.91118 0 1.92344 0 1.95694 0 
5.23771 0 5.3926 0 5.40804 0 5.26363 0 5.00007 0 4.99854 0 4.72466 0 4.57134 0 4.58476 0 4.74819 0 
7.73013 0 7.58861 0 7.62304 0 7.78819 0 8.18988 0 8.00943 0 7.77878 0 7.60399 0 7.56486 0 7.71408 0 
11.3895 0 11.2682 0 10.7791 0 10.5825 0 10.9996 0 11.0076 0 11.436 0 11.232 0 10.716 0 10.5868 0 
