0 1.94652 2.26762e-05 0.45941 9.59904e-05
0.01 1.94633 0.000142971 0.459364 0.000118949
0.02 1.94574 0.000503808 0.459226 0.000187817
0.03 1.94477 0.00110504 0.458997 0.000302566
0.04 1.94341 0.00194643 0.458675 0.000463151
0.05 1.94166 0.00302765 0.458263 0.000669506
0.06 1.93952 0.00434825 0.457759 0.00092155
0.07 1.93699 0.00590771 0.457164 0.00121918
0.08 1.93408 0.0077054 0.456478 0.00156228
0.09 1.93078 0.00974062 0.455702 0.00195072
0.1 1.9271 0.0120125 0.454836 0.00238432
0.11 1.92303 0.0145202 0.45388 0.00286294
0.12 1.91858 0.0172627 0.452836 0.00338636
0.13 1.91374 0.0202389 0.451702 0.00395438
0.14 1.90853 0.0234476 0.450481 0.00456679
0.15 1.90294 0.0268875 0.449173 0.00522332
0.16 1.89697 0.0305572 0.447778 0.00592372
0.17 1.89062 0.0344553 0.446297 0.00666771
0.18 1.8839 0.0385802 0.444731 0.007455
0.19 1.8768 0.0429303 0.443081 0.00828526
0.2 1.86934 0.0475037 0.441347 0.00915817
0.21 1.8615 0.0522987 0.439531 0.0100734
0.22 1.8533 0.0573134 0.437632 0.0110305
0.23 1.84473 0.0625457 0.435654 0.0120292
0.24 1.8358 0.0679935 0.433595 0.0130691
0.25 1.82651 0.0736547 0.431458 0.0141497
0.26 1.81686 0.0795269 0.429243 0.0152706
0.27 1.80686 0.0856079 0.426953 0.0164314
0.28 1.7965 0.0918951 0.424586 0.0176315
0.29 1.78579 0.098386 0.422146 0.0188707
0.3 1.77474 0.105078 0.419633 0.0201482
0.31 1.76334 0.111969 0.417049 0.0214637
0.32 1.7516 0.119055 0.414395 0.0228166
0.33 1.73952 0.126334 0.411672 0.0242063
0.34 1.72711 0.133802 0.408882 0.0256324
0.35 1.71436 0.141458 0.406026 0.0270943
0.36 1.70129 0.149297 0.403105 0.0285913
0.37 1.68789 0.157317 0.400122 0.0301229
0.38 1.67417 0.165515 0.397077 0.0316885
0.39 1.66013 0.173886 0.393973 0.0332875
0.4 1.64577 0.182428 0.390811 0.0349192
0.41 1.63111 0.191137 0.387592 0.036583
0.42 1.61614 0.20001 0.384319 0.0382782
0.43 1.60086 0.209042 0.380992 0.0400042
0.44 1.58529 0.218232 0.377614 0.0417604
0.45 1.56942 0.227573 0.374187 0.0435459
0.46 1.55325 0.237064 0.370712 0.0453601
0.47 1.53681 0.2467 0.367191 0.0472023
0.48 1.52007 0.256477 0.363626 0.0490718
0.49 1.50307 0.26639 0.360019 0.0509679
0.5 1.48578 0.276437 0.356371 0.0528897
0.51 1.46823 0.286613 0.352685 0.0548366
0.52 1.45041 0.296913 0.348963 0.0568078
0.53 1.43233 0.307334 0.345207 0.0588026
0.54 1.414 0.317872 0.341417 0.0608201
0.55 1.39541 0.328521 0.337598 0.0628596
0.56 1.37658 0.339278 0.33375 0.0649202
0.57 1.35751 0.350138 0.329876 0.0670013
0.58 1.3382 0.361097 0.325978 0.0691019
0.59 1.31866 0.37215 0.322057 0.0712213
0.6 1.29889 0.383293 0.318116 0.0733587
0.61 1.27891 0.394521 0.314158 0.0755132
0.62 1.2587 0.405829 0.310183 0.0776841
0.63 1.23828 0.417212 0.306195 0.0798704
0.64 1.21766 0.428667 0.302195 0.0820713
0.65 1.19684 0.440188 0.298186 0.0842861
0.66 1.17582 0.451771 0.29417 0.0865138
0.67 1.15461 0.46341 0.290149 0.0887536
0.68 1.13322 0.475101 0.286125 0.0910047
0.69 1.11165 0.486839 0.2821 0.0932662
0.7 1.0899 0.498619 0.278077 0.0955373
0.71 1.06799 0.510436 0.274058 0.0978171
0.72 1.04591 0.522285 0.270044 0.100105
0.73 1.02368 0.534162 0.266039 0.102399
0.74 1.0013 0.54606 0.262045 0.1047
0.75 0.978767 0.557975 0.258063 0.107006
0.76 0.956097 0.569903 0.254096 0.109316
0.77 0.933293 0.581838 0.250146 0.11163
0.78 0.91036 0.593774 0.246215 0.113947
0.79 0.887305 0.605708 0.242306 0.116265
0.8 0.864133 0.617633 0.238421 0.118585
0.81 0.84085 0.629545 0.234561 0.120904
0.82 0.817461 0.641439 0.23073 0.123223
0.83 0.793973 0.653309 0.226929 0.12554
0.84 0.770392 0.665151 0.22316 0.127855
0.85 0.746723 0.676959 0.219427 0.130167
0.86 0.722973 0.688728 0.21573 0.132474
0.87 0.699146 0.700454 0.212072 0.134777
0.88 0.67525 0.71213 0.208455 0.137074
0.89 0.651291 0.723753 0.204881 0.139364
0.9 0.627273 0.735316 0.201353 0.141647
0.91 0.603203 0.746815 0.197872 0.143922
0.92 0.579088 0.758245 0.19444 0.146187
0.93 0.554932 0.7696 0.19106 0.148443
0.94 0.530742 0.780876 0.187734 0.150689
0.95 0.506525 0.792068 0.184463 0.152923
0.96 0.482285 0.80317 0.18125 0.155144
0.97 0.458029 0.814179 0.178097 0.157353
0.98 0.433763 0.825088 0.175005 0.159549
0.99 0.409492 0.835893 0.171976 0.16173
1 0.385224 0.846588 0.169013 0.163895
1.01 0.360963 0.85717 0.166117 0.166045
1.02 0.336715 0.867634 0.16329 0.168178
1.03 0.312487 0.877973 0.160534 0.170294
1.04 0.288284 0.888185 0.157851 0.172392
1.05 0.264113 0.898263 0.155243 0.174472
1.06 0.239978 0.908204 0.15271 0.176531
1.07 0.215886 0.918002 0.150256 0.178571
1.08 0.191843 0.927653 0.147881 0.18059
1.09 0.167854 0.937153 0.145587 0.182588
1.1 0.143926 0.946497 0.143376 0.184564
1.11 0.120063 0.95568 0.14125 0.186517
