0 2.96573 -6.36623e-05 0.933729 2.73953e-05 0.49197 0.000219848 0.273745 0.000299939 0.124954 0.000140865
0.01 2.96544 0.000131314 0.933635 9.86785e-05 0.491921 0.000258111 0.273717 0.000319843 0.124942 0.000147098
0.02 2.96455 0.000716163 0.933355 0.0003125 0.491774 0.000372888 0.273635 0.000379546 0.124904 0.000165794
0.03 2.96306 0.00169065 0.932889 0.000668773 0.491528 0.000564131 0.273499 0.000479026 0.124842 0.000196946
0.04 2.96099 0.00305439 0.932236 0.00116736 0.491184 0.000831764 0.273307 0.000618241 0.124755 0.000240541
0.05 2.95832 0.00480684 0.931397 0.00180805 0.490742 0.00117568 0.273062 0.000797136 0.124642 0.000296563
0.06 2.95506 0.00694728 0.930372 0.0025906 0.490202 0.00159574 0.272761 0.00101564 0.124506 0.000364987
0.07 2.95122 0.00947488 0.929162 0.00351469 0.489564 0.00209178 0.272407 0.00127367 0.124344 0.000445788
0.08 2.94678 0.0123886 0.927768 0.00457995 0.488829 0.0026636 0.271998 0.00157111 0.124158 0.000538932
0.09 2.94175 0.0156873 0.92619 0.00578596 0.487998 0.00331097 0.271536 0.00190785 0.123947 0.000644383
0.1 2.93614 0.0193697 0.924429 0.00713223 0.487069 0.00403363 0.271019 0.00228376 0.123711 0.000762099
0.11 2.92994 0.0234342 0.922485 0.00861823 0.486044 0.00483129 0.270449 0.00269868 0.123451 0.000892032
0.12 2.92316 0.0278793 0.920361 0.0102434 0.484923 0.00570364 0.269826 0.00315245 0.123167 0.00103413
0.13 2.9158 0.0327031 0.918056 0.012007 0.483707 0.00665032 0.269149 0.00364488 0.122858 0.00118834
0.14 2.90785 0.0379038 0.915571 0.0139083 0.482396 0.00767095 0.26842 0.00417579 0.122526 0.00135459
0.15 2.89933 0.0434792 0.912909 0.0159468 0.480991 0.00876514 0.267639 0.00474495 0.122169 0.00153282
0.16 2.89024 0.0494272 0.910071 0.0181214 0.479492 0.00993243 0.266805 0.00535214 0.121789 0.00172296
0.17 2.88057 0.0557453 0.907057 0.0204313 0.477899 0.0111724 0.265919 0.00599712 0.121385 0.00192494
0.18 2.87033 0.062431 0.903869 0.0228756 0.476215 0.0124845 0.264982 0.00667963 0.120957 0.00213867
0.19 2.85952 0.0694816 0.900509 0.0254534 0.474438 0.0138682 0.263994 0.00739939 0.120507 0.00236406
0.2 2.84815 0.0768944 0.896978 0.0281636 0.472571 0.0153229 0.262955 0.00815612 0.120033 0.00260103
0.21 2.83621 0.0846662 0.893279 0.0310051 0.470614 0.0168482 0.261866 0.00894952 0.119536 0.00284948
0.22 2.82372 0.0927941 0.889412 0.0339769 0.468567 0.0184434 0.260727 0.00977927 0.119016 0.00310932
0.23 2.81067 0.101275 0.88538 0.0370776 0.466432 0.0201077 0.259538 0.010645 0.118474 0.00338043
0.24 2.79707 0.110105 0.881185 0.040306 0.464209 0.0218407 0.258301 0.0115465 0.11791 0.00366271
0.25 2.78292 0.11928 0.876829 0.043661 0.461899 0.0236415 0.257016 0.0124832 0.117324 0.00395605
0.26 2.76823 0.128798 0.872314 0.0471411 0.459504 0.0255096 0.255683 0.0134549 0.116715 0.00426033
0.27 2.75299 0.138654 0.867641 0.050745 0.457025 0.027444 0.254302 0.0144611 0.116086 0.00457543
