iteracion	Valor r1	Valor r2
214 	 14.1072	 7.14658
215 	 14.1448	 7.14832
216 	 14.1823	 7.15048
217 	 14.2195	 7.15316
218 	 14.2566	 7.15645
219 	 14.2934	 7.16049
220 	 14.33	 7.16545
221 	 14.3664	 7.17154
222 	 14.4027	 7.17902
223 	 14.439	 7.1882
224 	 14.4753	 7.19938
225 	 14.5115	 7.21277
226 	 14.5476	 7.22836
227 	 14.5833	 7.24584
228 	 14.6185	 7.26466
229 	 14.6533	 7.28434
230 	 14.6879	 7.30453
231 	 14.7222	 7.325
232 	 14.7565	 7.34566
233 	 14.7907	 7.36643
234 	 14.8248	 7.38731
235 	 14.8589	 7.40828
236 	 14.8929	 7.42933
237 	 14.9268	 7.45049
238 	 14.9607	 7.47174
239 	 14.9945	 7.4931
240 	 15.0283	 7.51457
241 	 15.0283	 7.51457
242 	 15.0283	 7.51457
243 	 15.0283	 7.51457
244 	 15.0282	 7.5145
245 	 15.028	 7.51439
246 	 15.0277	 7.51422
247 	 15.0275	 7.51404
248 	 15.0272	 7.51387
249 	 15.0269	 7.5137
250 	 15.0267	 7.51353
251 	 15.0264	 7.51337
252 	 15.0262	 7.51324
253 	 15.0261	 7.51317
254 	 15.026	 7.5131
255 	 15.0259	 7.51305
256 	 15.0258	 7.51299
257 	 15.0257	 7.51295
258 	 15.0257	 7.51291
259 	 15.0256	 7.51287
260 	 15.0256	 7.51284
261 	 15.0255	 7.51281
262 	 15.0255	 7.51279
263 	 15.0255	 7.51277
264 	 15.0254	 7.51275
265 	 15.0254	 7.51273
266 	 15.0254	 7.51271
267 	 15.0254	 7.5127
268 	 15.0253	 7.51269
269 	 15.0253	 7.51269
270 	 15.0253	 7.51268
271 	 15.0253	 7.51268
272 	 15.0253	 7.51267
273 	 15.0253	 7.51266
274 	 15.0253	 7.51265
275 	 15.0253	 7.51265
276 	 15.0253	 7.51264
277 	 15.0252	 7.51263
278 	 15.0252	 7.51263
279 	 15.0252	 7.51262
280 	 15.0252	 7.51262
281 	 15.0252	 7.51262
282 	 15.0252	 7.51261
