0.87 0.684547 0.437437 0.412001 0.412137 0.409734
0.88 0.728969 0.490327 0.465704 0.465837 0.463468
0.89 0.770513 0.541358 0.517633 0.517763 0.515439
0.9 0.809017 0.590355 0.567607 0.567733 0.565464
0.91 0.844328 0.637154 0.615456 0.615579 0.613376
0.92 0.876307 0.681605 0.661025 0.661142 0.659016
0.93 0.904827 0.723568 0.704168 0.70428 0.702239
0.94 0.929776 0.762918 0.744754 0.744859 0.742914
0.95 0.951057 0.799539 0.782662 0.78276 0.780919
0.96 0.968583 0.83333 0.817784 0.817874 0.816146
0.97 0.982287 0.864198 0.850024 0.850106 0.848498
0.98 0.992115 0.892064 0.879296 0.87937 0.877888
0.99 0.998027 0.916858 0.905525 0.90559 0.904243
1 1 0.938517 0.928646 0.928702 0.927495
1.01 0.998027 0.956992 0.948604 0.948651 0.947589
1.02 0.992115 0.97224 0.965352 0.965389 0.964478
1.03 0.982287 0.984227 0.978853 0.97888 0.978124
1.04 0.968583 0.992925 0.989075 0.989092 0.988495
1.05 0.951057 0.998317 0.995997 0.996004 0.99557
1.06 0.929776 1.00039 0.999604 0.999601 0.999334
1.07 0.904827 0.99914 0.999888 0.999875 0.999777
1.08 0.876307 0.99457 0.996848 0.996825 0.996899
1.09 0.844328 0.98669 0.990491 0.990459 0.990707
1.1 0.809017 0.975517 0.980831 0.980789 0.981213
1.11 0.770513 0.961075 0.967889 0.967837 0.968438
1.12 0.728969 0.943396 0.951693 0.951631 0.952411
1.13 0.684547 0.922521 0.93228 0.932209 0.933168
1.14 0.637424 0.8985 0.909696 0.909615 0.910754
1.15 0.587785 0.871389 0.883993 0.883903 0.885221
1.16 0.535827 0.841258 0.855235 0.855136 0.856634
1.17 0.481754 0.808183 0.823496 0.823388 0.825065
1.18 0.425779 0.772255 0.788859 0.788742 0.790596
1.19 0.368125 0.733571 0.751419 0.751293 0.753322
1.2 0.309017 0.692244 0.711282 0.711147 0.713349
1.21 0.24869 0.648398 0.668565 0.668422 0.670793
1.22 0.187381 0.602167 0.6234 0.623248 0.625784
1.23 0.125333 0.553701 0.575927 0.575767 0.578464
1.24 0.0627905 0.503158 0.526303 0.526135 0.528987
1.25 -5.17502e-13 0.450712 0.474694 0.474518 0.477518
1.26 -0.0627905 0.396546 0.421279 0.421096 0.424235
1.27 -0.125333 0.340855 0.366247 0.366057 0.369329
1.28 -0.187381 0.283844 0.309801 0.309604 0.312998
1.29 -0.24869 0.225728 0.252149 0.251946 0.255453
1.3 -0.309017 0.166729 0.193512 0.193303 0.19691
1.31 -0.368125 0.107074 0.134114 0.133901 0.137596
1.32 -0.425779 0.0469969 0.0741874 0.0739701 0.0777404
1.33 -0.481754 -0.0132654 0.0139679 0.0137471 0.0175784
1.34 -0.535827 -0.0734753 -0.046307 -0.0465304 -0.0426529
1.35 -0.587785 -0.133395 -0.106399 -0.106624 -0.102716
1.36 -0.637424 -0.19279 -0.166072 -0.166298 -0.162375
1.37 -0.684547 -0.251429 -0.225092 -0.225317 -0.221395
1.38 -0.728969 -0.309085 -0.28323 -0.283454 -0.27955
1.39 -0.770513 -0.365541 -0.340264 -0.340486 -0.336615
1.4 -0.809017 -0.420585 -0.395979 -0.396198 -0.392378
1.41 -0.844328 -0.474018 -0.450171 -0.450384 -0.446631
1.42 -0.876307 -0.525648 -0.502643 -0.502851 -0.499181
1.43 -0.904827 -0.575298 -0.553212 -0.553413 -0.549841
