0.01 1.00068 0.00152802 
0.02 1.00267 0.00292085 
0.03 1.00581 0.00414003 
0.04 1.00994 0.00515011 
0.05 1.01486 0.00591888 
0.06 1.02034 0.00641748 
0.07 1.02614 0.0066205 
0.08 1.03197 0.00650605 
0.09 1.03755 0.00605578 
0.1 1.04257 0.00525487 
0.11 1.04672 0.00409202 
0.12 1.04967 0.00255942 
0.13 1.05109 0.000652716 
0.14 1.05065 -0.001629 
0.15 1.04801 -0.00428316 
0.16 1.04285 -0.00730375 
0.17 1.03485 -0.0106811 
0.18 1.02369 -0.014402 
0.19 1.00908 -0.0184493 
0.2 0.990739 -0.0228018 
0.21 0.968402 -0.0274342 
0.22 0.941836 -0.0323167 
0.23 0.910835 -0.0374149 
0.24 0.875223 -0.0426895 
0.25 0.834863 -0.0480965 
0.26 0.78966 -0.0535869 
0.27 0.739563 -0.0591073 
0.28 0.684571 -0.0645999 
0.29 0.624735 -0.0700036 
0.3 0.560163 -0.0752543 
0.31 0.491021 -0.0802869 
0.32 0.41753 -0.0850362 
0.33 0.339972 -0.0894388 
0.34 0.25868 -0.0934352 
0.35 0.174041 -0.0969715 
0.36 0.086484 -0.100001 
0.37 -0.0035234 -0.102488 
0.38 -0.0954864 -0.104406 
0.39 -0.188892 -0.10574 
0.4 -0.28322 -0.106489 
0.41 -0.377954 -0.106662 
0.42 -0.47259 -0.10628 
0.43 -0.56665 -0.105374 
0.44 -0.659683 -0.103982 
0.45 -0.751278 -0.102151 
0.46 -0.841067 -0.0999278 
0.47 -0.928722 -0.0973632 
0.48 -1.01396 -0.094507 
0.49 -1.09655 -0.0914068 
0.5 -1.17629 -0.0881065 
0.51 -1.25303 -0.0846449 
0.52 -1.32662 -0.0810552 
0.53 -1.39698 -0.0773646 
0.54 -1.46402 -0.0735936 
0.55 -1.52767 -0.0697566 
0.56 -1.58789 -0.065862 
0.57 -1.64463 -0.0619123 
0.58 -1.69782 -0.057905 
0.59 -1.74743 -0.0538331 
0.6 -1.79339 -0.0496853 
0.61 -1.83561 -0.0454471 
0.62 -1.87403 -0.0411009 
0.63 -1.90853 -0.0366269 
0.64 -1.93898 -0.0320034 
0.65 -1.96526 -0.0272072 
0.66 -1.98718 -0.0222146 
0.67 -2.00458 -0.0170011 
0.68 -2.01723 -0.0115423 
0.69 -2.02492 -0.00581435 
0.7 -2.02739 0.000205554 
0.71 -2.02437 0.00653881 
0.72 -2.01558 0.0132046 
0.73 -2.00072 0.0202191 
0.74 -1.97946 0.027595 
0.75 -1.95149 0.0353398 
0.76 -1.91648 0.0434552 
0.77 -1.87409 0.0519353 
0.78 -1.82402 0.0607652 
0.79 -1.76595 0.0699186 
0.8 -1.69963 0.0793563 
0.81 -1.62482 0.0890239 
0.82 -1.54134 0.0988495 
0.83 -1.44911 0.108742 
0.84 -1.34809 0.118591 
0.85 -1.2384 0.128264 
0.86 -1.12025 0.137611 
0.87 -0.994008 0.146466 
0.88 -0.860184 0.154652 
0.89 -0.719453 0.161992 
0.9 -0.572646 0.168312 
0.91 -0.420738 0.17346 
0.92 -0.264826 0.177312 
0.93 -0.106104 0.179784 
0.94 0.0541821 0.180839 
0.95 0.214776 0.18049 
0.96 0.374456 0.178802 
0.97 0.53208 0.175887 
0.98 0.686618 0.171889 
0.99 0.837185 0.166983 
1 0.983056 0.161353 
1.01 1.12367 0.155187 
1.02 1.25864 0.148665 
1.03 1.38771 0.141951 
1.04 1.51078 0.135187 
1.05 1.62787 0.128492 
1.06 1.73907 0.121959 
1.07 1.84456 0.11566 
1.08 1.94458 0.109642 
1.09 2.03939 0.103934 
1.1 2.12927 0.098551 
1.11 2.21451 0.0934915 
1.12 2.29539 0.088745 
1.13 2.37219 0.0842926 
1.14 2.44515 0.0801095 
1.15 2.5145 0.0761665 
1.16 2.58044 0.0724318 
1.17 2.64315 0.0688723 
1.18 2.70276 0.065454 
1.19 2.75938 0.0621433 
1.2 2.81309 0.0589073 
1.21 2.86395 0.0557141 
1.22 2.91198 0.0525331 
1.23 2.95718 0.0493357 
1.24 2.99952 0.0460946 
1.25 3.03896 0.0427847 
1.26 3.07541 0.0393823 
1.27 3.10879 0.0358658 
1.28 3.13899 0.0322155 
1.29 -3.1173 0.0284131 
1.3 -3.09385 0.0244423 
1.31 -3.07402 0.020288 
1.32 -3.05795 0.0159366 
1.33 -3.04585 0.011376 
1.34 -3.03789 0.00659456 
1.35 -3.03428 0.00158194 
1.36 -3.03522 -0.00367187 
1.37 -3.04095 -0.00917654 
1.38 -3.05167 -0.0149417 
1.39 -3.06763 -0.020977 
1.4 -3.08908 -0.0272929 
1.41 -3.11626 -0.0339002 
1.42 3.13375 -0.0408104 
1.43 3.09429 -0.0480358 
1.44 3.04828 -0.0555892 
1.45 2.9954 -0.0634835 
1.46 2.93536 -0.071731 
1.47 2.86784 -0.0803419 
1.48 2.79251 -0.0893236 
1.49 2.70904 -0.0986774 
1.5 2.6171 -0.108396 
1.51 2.51637 -0.118462 
1.52 2.40656 -0.128837 
1.53 2.28743 -0.139466 
1.54 2.15877 -0.150263 
1.55 2.02049 -0.16111 
1.56 1.87261 -0.171854 
1.57 1.71531 -0.182297 
1.58 1.54896 -0.192204 
1.59 1.37414 -0.201302 
1.6 1.19172 -0.209291 
1.61 1.00281 -0.215863 
1.62 0.808802 -0.220719 
1.63 0.611345 -0.223599 
1.64 0.412287 -0.224303 
1.65 0.213618 -0.222714 
1.66 0.0173928 -0.21881 
1.67 -0.17436 -0.212667 
1.68 -0.359719 -0.20445 
1.69 -0.536941 -0.194394 
