0.66 -1.41552 -0.565607 -0.427399 -0.174558 -0.161726 -0.0484321
0.67 -1.39006 -0.580183 -0.421429 -0.179075 -0.159296 -0.0496817
0.68 -1.36437 -0.594824 -0.415451 -0.183614 -0.156856 -0.0509372
0.69 -1.33847 -0.609524 -0.409467 -0.188173 -0.154409 -0.0521983
0.7 -1.31237 -0.624276 -0.403482 -0.192751 -0.151955 -0.0534643
0.71 -1.28606 -0.639076 -0.397497 -0.197346 -0.149495 -0.0547348
0.72 -1.25956 -0.653916 -0.391517 -0.201956 -0.14703 -0.0560094
0.73 -1.23288 -0.66879 -0.385544 -0.20658 -0.144562 -0.0572874
0.74 -1.20601 -0.683693 -0.379581 -0.211215 -0.142092 -0.0585685
0.75 -1.17897 -0.698617 -0.373632 -0.21586 -0.13962 -0.059852
0.76 -1.15177 -0.713557 -0.367699 -0.220514 -0.137147 -0.0611375
0.77 -1.12441 -0.728506 -0.361787 -0.225173 -0.134675 -0.0624245
0.78 -1.09689 -0.743458 -0.355897 -0.229838 -0.132205 -0.0637125
0.79 -1.06923 -0.758406 -0.350034 -0.234505 -0.129738 -0.065001
0.8 -1.04143 -0.773345 -0.3442 -0.239174 -0.127275 -0.0662894
0.81 -1.0135 -0.788268 -0.338398 -0.243841 -0.124817 -0.0675774
0.82 -0.98545 -0.803168 -0.332632 -0.248506 -0.122366 -0.0688642
0.83 -0.95728 -0.818039 -0.326904 -0.253167 -0.119921 -0.0701496
0.84 -0.929001 -0.832876 -0.321219 -0.257822 -0.117485 -0.0714329
0.85 -0.900619 -0.84767 -0.315578 -0.26247 -0.115058 -0.0727137
0.86 -0.872142 -0.862417 -0.309985 -0.267108 -0.112642 -0.0739914
0.87 -0.843576 -0.87711 -0.304442 -0.271735 -0.110238 -0.0752656
0.88 -0.81493 -0.891741 -0.298954 -0.276349 -0.107846 -0.0765358
0.89 -0.786209 -0.906306 -0.293523 -0.280948 -0.105468 -0.0778015
0.9 -0.757422 -0.920798 -0.288152 -0.285531 -0.103104 -0.0790621
0.91 -0.728576 -0.93521 -0.282844 -0.290096 -0.100756 -0.0803172
0.92 -0.699677 -0.949536 -0.277602 -0.294641 -0.0984257 -0.0815664
0.93 -0.670734 -0.96377 -0.272429 -0.299165 -0.0961129 -0.0828091
0.94 -0.641753 -0.977905 -0.267327 -0.303666 -0.0938191 -0.0840448
0.95 -0.612741 -0.991936 -0.262301 -0.308143 -0.0915453 -0.0852731
0.96 -0.583706 -1.00586 -0.257351 -0.312593 -0.0892925 -0.0864935
0.97 -0.554654 -1.01966 -0.252483 -0.317016 -0.0870618 -0.0877056
0.98 -0.525594 -1.03334 -0.247697 -0.321409 -0.0848541 -0.0889088
0.99 -0.496532 -1.04689 -0.242997 -0.32577 -0.0826705 -0.0901027
1 -0.467475 -1.0603 -0.238386 -0.3301 -0.0805119 -0.0912868
