0.01 4.54898e+06
0.02 33802.3
0.03 12335.2
0.04 7276.94
0.05 4141.73
0.06 3151.89
0.07 2044.53
0.08 1476.57
0.09 1312.88
0.1 1061.77
0.11 838.053
0.12 568.029
0.13 578.551
0.14 465.806
0.15 475.113
0.16 389.158
0.17 331.004
0.18 363.069
0.19 291.223
0.2 231.541
0.21 259.043
0.22 192.458
0.23 219.32
0.24 122.001
0.25 153.595
0.26 159.483
0.27 123.72
0.28 162.834
0.29 167.86
0.3 118.435
0.31 101.62
0.32 114.443
0.33 92.5803
0.34 77.964
0.35 69.9917
0.36 85.1609
0.37 77.4303
0.38 59.3119
0.39 60.4963
0.4 69.3342
0.41 55.1919
0.42 56.4057
0.43 64.7683
0.44 46.955
0.45 43.6816
0.46 51.8079
0.47 79.4902
0.48 58.4695
0.49 29.7476
0.5 54.2316
0.51 47.114
0.52 50.3139
0.53 25.7154
0.54 29.1752
0.55 42.0902
0.56 28.2387
0.57 25.9436
0.58 32.8453
0.59 28.7583
0.6 28.3365
0.61 24.4385
0.62 24.0949
0.63 30.5528
0.64 40.1878
0.65 46.2667
0.66 24.4652
0.67 19.3241
0.68 15.9035
0.69 20.423
0.7 20.1795
0.71 19.9437
0.72 24.265
0.73 17.9945
0.74 22.2457
0.75 23.4728
0.76 23.2247
0.77 20.111
0.78 22.7506
0.79 18.3008
0.8 18.1221
0.81 26.2327
0.82 23.2512
0.83 25.7477
0.84 13.4293
0.85 23.9591
0.86 11.8758
0.87 19.6251
0.88 14.272
0.89 12.8688
0.9 12.7661
0.91 16.466
0.92 8.79837
0.93 23.702
0.94 14.8596
0.95 14.7526
0.96 18.3107
0.97 21.8212
0.98 13.2451
0.99 14.3536
1 10.6956
