0 0 0
0.01 0.1 0.1
0.02 0.1998 0.198819
0.03 0.2994 0.296459
0.04 0.398802 0.392923
0.05 0.498004 0.488214
0.06 0.597008 0.582332
0.07 0.695814 0.675282
0.08 0.794422 0.767064
0.09 0.892833 0.857682
0.1 0.991048 0.947137
0.11 1.08907 1.03543
0.12 1.18689 1.12257
0.13 1.28451 1.20855
0.14 1.38194 1.29338
0.15 1.47918 1.37706
0.16 1.57622 1.45959
0.17 1.67307 1.54098
0.18 1.76972 1.62122
0.19 1.86618 1.70032
0.2 1.96245 1.77828
0.21 2.05853 1.8551
0.22 2.15441 1.93079
0.23 2.2501 2.00535
0.24 2.3456 2.07877
0.25 2.44091 2.15107
0.26 2.53603 2.22225
0.27 2.63096 2.2923
0.28 2.72569 2.36122
0.29 2.82024 2.42903
0.3 2.9146 2.49573
0.31 3.00877 2.56131
0.32 3.10276 2.62577
0.33 3.19655 2.68913
0.34 3.29016 2.75138
0.35 3.38358 2.81252
0.36 3.47681 2.87256
0.37 3.56986 2.9315
0.38 3.66272 2.98934
0.39 3.75539 3.04608
0.4 3.84788 3.10173
0.41 3.94018 3.15629
0.42 4.0323 3.20975
0.43 4.12424 3.26213
0.44 4.21599 3.31343
0.45 4.30756 3.36363
0.46 4.39894 3.41276
0.47 4.49015 3.46081
0.48 4.58117 3.50778
0.49 4.672 3.55368
0.5 4.76266 3.5985
0.51 4.85313 3.64225
0.52 4.94343 3.68494
0.53 5.03354 3.72656
0.54 5.12347 3.76711
0.55 5.21323 3.8066
0.56 5.3028 3.84504
0.57 5.39219 3.88241
0.58 5.48141 3.91873
0.59 5.57045 3.95399
0.6 5.65931 3.9882
0.61 5.74799 4.02137
0.62 5.83649 4.05348
0.63 5.92482 4.08456
0.64 6.01297 4.11458
0.65 6.10094 4.14357
0.66 6.18874 4.17152
0.67 6.27636 4.19843
0.68 6.36381 4.22431
0.69 6.45108 4.24915
0.7 6.53818 4.27296
0.71 6.62511 4.29575
0.72 6.71185 4.3175
0.73 6.79843 4.33824
0.74 6.88483 4.35795
0.75 6.97106 4.37664
0.76 7.05712 4.39431
0.77 7.14301 4.41096
0.78 7.22872 4.4266
0.79 7.31426 4.44123
0.8 7.39964 4.45485
0.81 7.48484 4.46746
0.82 7.56987 4.47907
0.83 7.65473 4.48967
0.84 7.73942 4.49926
0.85 7.82394 4.50786
0.86 7.90829 4.51546
0.87 7.99247 4.52206
0.88 8.07649 4.52767
0.89 8.16034 4.53229
0.9 8.24402 4.53592
0.91 8.32753 4.53855
0.92 8.41087 4.54021
0.93 8.49405 4.54087
0.94 8.57706 4.54056
0.95 8.65991 4.53926
0.96 8.74259 4.53699
0.97 8.8251 4.53374
0.98 8.90745 4.52952
0.99 8.98964 4.52432
1 9.07166 4.51815
1.01 9.15352 4.51101
1.02 9.23521 4.50291
1.03 9.31674 4.49384
1.04 9.39811 4.48381
1.05 9.47931 4.47282
1.06 9.56035 4.46087
1.07 9.64123 4.44796
1.08 9.72195 4.4341
1.09 9.8025 4.41928
1.1 9.8829 4.40352
1.11 9.96313 4.3868
1.12 10.0432 4.36913
1.13 10.1231 4.35052
1.14 10.2029 4.33097
1.15 10.2825 4.31047
1.16 10.3619 4.28904
1.17 10.4412 4.26666
1.18 10.5203 4.24335
1.19 10.5993 4.21911
1.2 10.6781 4.19393
1.21 10.7567 4.16782
1.22 10.8352 4.14079
1.23 10.9135 4.11282
1.24 10.9917 4.08394
1.25 11.0697 4.05412
1.26 11.1476 4.02339
1.27 11.2253 3.99174
1.28 11.3028 3.95917
1.29 11.3802 3.92568
1.3 11.4575 3.89128
1.31 11.5345 3.85597
1.32 11.6115 3.81974
1.33 11.6882 3.78261
1.34 11.7649 3.74458
1.35 11.8413 3.70563
1.36 11.9177 3.66579
1.37 11.9938 3.62504
1.38 12.0698 3.58339
1.39 12.1457 3.54085
1.4 12.2214 3.49741
1.41 12.297 3.45307
1.42 12.3724 3.40784
1.43 12.4476 3.36173
1.44 12.5227 3.31472
1.45 12.5977 3.26683
1.46 12.6725 3.21805
1.47 12.7471 3.16839
1.48 12.8216 3.11784
1.49 12.896 3.06642
1.5 12.9702 3.01412
1.51 13.0443 2.96094
1.52 13.1182 2.90688
1.53 13.1919 2.85196
1.54 13.2656 2.79616
1.55 13.339 2.7395
1.56 13.4124 2.68196
1.57 13.4855 2.62356
1.58 13.5586 2.5643
1.59 13.6314 2.50417
1.6 13.7042 2.44318
1.61 13.7768 2.38134
1.62 13.8492 2.31863
1.63 13.9215 2.25507
1.64 13.9937 2.19066
1.65 14.0657 2.1254
1.66 14.1376 2.05928
1.67 14.2093 1.99232
1.68 14.2809 1.9245
1.69 14.3523 1.85585
1.7 14.4236 1.78635
1.71 14.4948 1.716
1.72 14.5658 1.64482
1.73 14.6366 1.5728
1.74 14.7074 1.49994
1.75 14.7779 1.42625
1.76 14.8484 1.35172
1.77 14.9187 1.27636
1.78 14.9889 1.20017
1.79 15.0589 1.12315
1.8 15.1288 1.04531
1.81 15.1985 0.966636
1.82 15.2681 0.887142
1.83 15.3376 0.806825
1.84 15.4069 0.725689
1.85 15.4761 0.643733
1.86 15.5451 0.560961
1.87 15.614 0.477373
1.88 15.6828 0.392971
1.89 15.7514 0.307757
1.9 15.8199 0.221733
1.91 15.8883 0.134899
1.92 15.9565 0.0472583
1.93 16.0246 -0.0411882
1.94 16.0926 -0.130439
1.95 16.1604 -0.220492
1.96 16.2281 -0.311346
1.97 16.2956 -0.402999
1.98 16.363 -0.49545
1.99 16.4303 -0.588697
